loc_id,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./stock2015_2017/models/11model,amount,pcfNcfTTM,85,0.499998,0.333333,-1.0,0
./stock2015_2017/models/11model,psTTM,pcfNcfTTM,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/11model,high,pcfNcfTTM,85,0.916662,0.666667,0.0,0
./stock2015_2017/models/11model,pctChg,pcfNcfTTM,85,0.416667,-1.0,-1.0,0
./stock2015_2017/models/11model,pbMRQ,pcfNcfTTM,85,0.833328,0.333333,0.5,0
./stock2015_2017/models/11model,close,pcfNcfTTM,85,0.999995,1.0,0.0,0
./stock2015_2017/models/11model,turn,pcfNcfTTM,85,0.583333,-1.0,0.5,0
./stock2015_2017/models/11model,low,pcfNcfTTM,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/11model,volume,pcfNcfTTM,85,0.749997,0.666667,0.0,0
./stock2015_2017/models/11model,ALL,pcfNcfTTM,85,0.416667,-1.0,-1.0,0
