loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./payload2015_2017/models/13model,41.80556,41.86667,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.809836,0.512195,0.323864,7
./payload2015_2017/models/13model,41.80556,41.86667,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.839845,0.5375,0.316092,7
./payload2015_2017/models/13model,41.80556,41.86667,-87.82222,-87.74444,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.815224,0.528736,0.327778,7
./payload2015_2017/models/14model,41.92778,41.98889,-87.9,-87.82222,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.861659,0.74269,0.380952,7
./payload2015_2017/models/14model,41.92778,41.98889,-87.9,-87.82222,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.856305,0.579545,0.294118,7
./payload2015_2017/models/14model,41.92778,41.98889,-87.9,-87.82222,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.859666,0.713483,0.254902,7
./payload2015_2017/models/14model,41.92778,41.98889,-87.9,-87.82222,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.876819,0.734104,0.229167,7
./payload2015_2017/models/15model,41.92778,41.98889,-87.82222,-87.74444,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/15model,41.92778,41.98889,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/15model,41.92778,41.98889,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/15model,41.92778,41.98889,-87.82222,-87.74444,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/16model,41.92778,41.98889,-87.66667,-87.58889,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/16model,41.92778,41.98889,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/16model,41.92778,41.98889,-87.66667,-87.58889,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/16model,41.92778,41.98889,-87.66667,-87.58889,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/17model,41.98889,42.05,-87.82222,-87.74444,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.822227,0.539877,0.345455,7
./payload2015_2017/models/17model,41.98889,42.05,-87.82222,-87.74444,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.830073,0.615385,0.377358,7
./payload2015_2017/models/17model,41.98889,42.05,-87.82222,-87.74444,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.881551,0.730769,0.22807,7
./payload2015_2017/models/17model,41.98889,42.05,-87.82222,-87.74444,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.862923,0.705521,0.270833,7
